cluster_id_1,cluster_id_2,distance_meters
0.0,1.0,373.26901238570736
0.0,2.0,525.7237649719524
0.0,3.0,1773.017534922537
0.0,4.0,704.5266866816471
0.0,5.0,1317.288017159622
0.0,6.0,1560.6962100290611
0.0,7.0,1978.508668721958
0.0,8.0,1448.9406502567224
0.0,9.0,158.90073038618348
0.0,10.0,796.1112895680068
0.0,11.0,915.078029109786
0.0,12.0,966.4443326525147
0.0,13.0,156.6623946766151
0.0,14.0,263.8302343535748
0.0,15.0,1642.0271396784776
0.0,16.0,768.3516541502739
0.0,17.0,367.442327107662
0.0,18.0,1960.2320216703174
0.0,19.0,1870.384280752602
0.0,20.0,441.98886939137753
0.0,21.0,983.7548965279175
0.0,22.0,992.1549896137411
0.0,23.0,865.8746773484386
0.0,24.0,1222.0523713545394
0.0,25.0,568.46054195498
0.0,26.0,1225.1602537769154
0.0,27.0,884.1421018555442
0.0,28.0,1801.3784534945023
0.0,29.0,2901.6572591764207
0.0,30.0,867.8982405789634
0.0,31.0,2956.392578821658
0.0,32.0,3160.64542146736
0.0,33.0,559.651074461603
0.0,34.0,944.8260603750442
0.0,35.0,680.598923372799
0.0,36.0,256.87472170290073
0.0,37.0,697.9116689726777
0.0,38.0,568.0173835777133
0.0,39.0,2162.323164680559
0.0,40.0,763.9004352929423
0.0,41.0,330.4078449674395
0.0,42.0,412.817537014693
0.0,43.0,692.6220960172902
0.0,44.0,456.99486514900985
0.0,45.0,525.5509781161568
0.0,46.0,2752.2733897888784
0.0,47.0,562.1542197064706
0.0,48.0,1538.1137272509022
0.0,49.0,520.4285402464319
0.0,50.0,1121.2388386796297
0.0,51.0,1409.8857825230407
1.0,2.0,325.00747901575056
1.0,3.0,1416.3770946623854
1.0,4.0,566.3667060884926
1.0,5.0,987.0054373696976
1.0,6.0,1203.654086232153
1.0,7.0,1609.6788850011894
1.0,8.0,1117.2924541749235
1.0,9.0,215.07006307092286
1.0,10.0,422.96538843118
1.0,11.0,560.3911342813793
1.0,12.0,644.851941072716
1.0,13.0,339.4765548667317
1.0,14.0,164.61326658241165
1.0,15.0,1281.1448402878548
1.0,16.0,487.7250658227006
1.0,17.0,611.3771451817418
1.0,18.0,1599.5171041491924
1.0,19.0,1653.7666362960088
1.0,20.0,403.7828607061295
1.0,21.0,610.525137351837
1.0,22.0,632.1136267532776
1.0,23.0,627.2007287298436
1.0,24.0,868.6346863724411
1.0,25.0,512.1585069177002
1.0,26.0,858.4513671025877
1.0,27.0,690.115958008736
1.0,28.0,1451.5461203120233
1.0,29.0,2528.5184028676326
1.0,30.0,509.5208087251007
1.0,31.0,2766.1070587139443
1.0,32.0,2964.839241189139
